,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
112,bqskit_bv_all_ones_15,bqskit_bv_all_ones_15_1e-08_ScanPartitioner3_LEAP,15,2.704294443130493,14,14,14,14,59,102,"measurement, measurement, measurement, measurement, CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.2857142857142865,13.0,2.0,2.0,,False,BQSkit
113,bqskit_bv_all_ones_15,bqskit_bv_all_ones_15_OptimizationLevel3,15,0.044878244400024005,14,14,15,14,59,97,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
114,bqskit_bv_all_ones_36,bqskit_bv_all_ones_36_1e-08_ScanPartitioner3_QSearch,36,3.16116452217102,35,35,35,35,143,249,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.944444444444445,12.944444444444445,1.9444444444444442,2.0,,False,BQSkit
115,bqskit_bv_all_ones_36,bqskit_bv_all_ones_36_1e-08_ScanPartitioner3_LEAP,36,1.8247013092041011,35,35,35,35,143,249,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.944444444444445,12.666666666666666,1.9444444444444442,1.9444444444444442,,False,BQSkit
116,bqskit_bv_all_ones_36,bqskit_bv_all_ones_36_OptimizationLevel3,36,0.112348318099975,35,35,36,35,143,223,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
117,bqskit_bv_all_ones_49,bqskit_bv_all_ones_49_1e-08_ScanPartitioner3_QSearch,49,4.524489879608154,48,48,48,48,195,340,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.083333333333333,13.208333333333334,2.0,2.041666666666666,,False,BQSkit
118,bqskit_bv_all_ones_49,bqskit_bv_all_ones_49_1e-08_ScanPartitioner3_LEAP,49,4.46464467048645,48,48,48,48,195,340,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.083333333333333,13.0,2.0,2.0,,False,BQSkit
119,bqskit_bv_all_ones_49,bqskit_bv_all_ones_49_OptimizationLevel3,49,0.21301841735839802,48,48,49,48,195,301,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
120,bqskit_bv_all_ones_11,bqskit_bv_all_ones_11_1e-08_ScanPartitioner3_QSearch,11,2.731578826904297,10,10,10,10,43,74,"measurement, measurement, CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.4,13.0,2.0,2.0,,False,BQSkit
121,bqskit_bv_all_ones_11,bqskit_bv_all_ones_11_1e-08_ScanPartitioner3_LEAP,11,2.675334215164184,10,10,10,10,43,74,"measurement, measurement, CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.4,13.0,2.0,2.0,,False,BQSkit
