,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
215,qiskit_clifford_12_33019,qiskit_clifford_12_33019_OptimizationLevel3,12,0.30605030059814403,594,409,236,168,1440,1482,"cy, z, swap, x, y, cx, s, cz, h, sdg","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
216,qiskit_clifford_19_88377,qiskit_clifford_19_88377_1e-08_ScanPartitioner3_QSearch,19,43.3038809299469,1435,2159,408,653,3610,8755,"CZGate, XGate, CYGate, SdgGate, ZGate, HGate, CNOTGate, YGate, SGate, SwapGate","CNOTGate, XGate, RZGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.239477503628447,19.06821480406386,2.082728592162554,3.222060957910014,,False,BQSkit
217,qiskit_clifford_19_88377,qiskit_clifford_19_88377_1e-08_ScanPartitioner3_LEAP,19,36.314154624938965,1435,2160,408,652,3610,8771,"CZGate, XGate, CYGate, SdgGate, ZGate, HGate, CNOTGate, YGate, SGate, SwapGate","CNOTGate, XGate, RZGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.239477503628447,20.737300435413644,2.082728592162554,3.5558780841799713,,False,BQSkit
218,qiskit_clifford_19_88377,qiskit_clifford_19_88377_OptimizationLevel3,19,0.7310602664947511,1435,1032,408,296,3610,3626,"s, swap, x, h, sdg, cx, cz, z, y, cy","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
219,qiskit_clifford_11_50638,qiskit_clifford_11_50638_1e-08_ScanPartitioner3_QSearch,11,13.942063093185425,478,691,213,340,1210,3078,"CZGate, XGate, CYGate, SdgGate, HGate, ZGate, CNOTGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.5,18.90909090909091,2.172727272727273,3.195454545454545,,False,BQSkit
220,qiskit_clifford_11_50638,qiskit_clifford_11_50638_1e-08_ScanPartitioner3_LEAP,11,14.226713418960571,478,692,213,338,1210,3126,"CZGate, XGate, CYGate, SdgGate, HGate, ZGate, CNOTGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.5,20.386363636363637,2.172727272727273,3.49090909090909,,False,BQSkit
221,qiskit_clifford_11_50638,qiskit_clifford_11_50638_OptimizationLevel3,11,0.30817651748657204,478,337,213,155,1210,1196,"s, h, cy, x, swap, z, cx, sdg, cz, y","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
222,qiskit_clifford_20_36228,qiskit_clifford_20_36228_1e-08_ScanPartitioner3_QSearch,20,47.62696957588196,1645,2451,466,763,4000,9982,"SGate, XGate, CYGate, ZGate, CNOTGate, SdgGate, HGate, YGate, CZGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.9689440993788825,18.76024844720497,2.043478260869565,3.165217391304347,,False,BQSkit
223,qiskit_clifford_20_36228,qiskit_clifford_20_36228_1e-08_ScanPartitioner3_LEAP,20,46.034467697143555,1645,2453,466,763,4000,9965,"SGate, XGate, CYGate, ZGate, CNOTGate, SdgGate, HGate, YGate, CZGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.9689440993788825,20.300621118012423,2.043478260869565,3.473291925465838,,False,BQSkit
224,qiskit_clifford_20_36228,qiskit_clifford_20_36228_OptimizationLevel3,20,0.849647283554077,1645,1178,466,330,4000,4031,"swap, h, cy, s, cz, y, cx, sdg, x, z","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
