,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
25,qiskit_bv_all_ones_14,qiskit_bv_all_ones_14_1e-08_ScanPartitioner3_LEAP,14,9.158677577972412,13,13,13,13,54,95,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.857142857142857,12.142857142857142,1.8571428571428572,1.8571428571428572,,False,BQSkit
26,qiskit_bv_all_ones_14,qiskit_bv_all_ones_14_OptimizationLevel3,14,-6.661698818206787,13,13,13,13,54,91,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
27,qiskit_bv_all_ones_37,qiskit_bv_all_ones_37_1e-08_ScanPartitioner3_QSearch,37,3.972388744354248,36,36,36,36,146,256,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.111111111111111,13.0,2.0,2.0,,False,BQSkit
28,qiskit_bv_all_ones_37,qiskit_bv_all_ones_37_1e-08_ScanPartitioner3_LEAP,37,3.112436056137085,36,36,36,36,146,256,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.111111111111111,13.555555555555555,2.0,2.111111111111111,,False,BQSkit
29,qiskit_bv_all_ones_37,qiskit_bv_all_ones_37_OptimizationLevel3,37,0.12075090408325101,36,36,36,36,146,229,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
30,qiskit_bv_all_ones_19,qiskit_bv_all_ones_19_1e-08_ScanPartitioner3_QSearch,19,9.318341970443726,18,18,18,18,74,130,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.222222222222222,13.0,2.0,2.0,,False,BQSkit
31,qiskit_bv_all_ones_19,qiskit_bv_all_ones_19_1e-08_ScanPartitioner3_LEAP,19,-3.659446954727173,18,18,18,18,74,130,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.222222222222222,13.0,2.0,2.0,,False,BQSkit
32,qiskit_bv_all_ones_19,qiskit_bv_all_ones_19_OptimizationLevel3,19,0.060561656951904005,18,18,18,18,74,121,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
33,qiskit_bv_all_ones_21,qiskit_bv_all_ones_21_1e-08_ScanPartitioner3_QSearch,21,2.673463821411133,20,20,20,20,82,144,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.2,13.0,2.0,2.0,,False,BQSkit
34,qiskit_bv_all_ones_21,qiskit_bv_all_ones_21_1e-08_ScanPartitioner3_LEAP,21,3.433735847473144,20,20,20,20,82,144,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.2,13.0,2.0,2.0,,False,BQSkit
